t,%,plugged
2021-04-10 13:13:06,61,1
2021-04-10 13:13:07,61,1
2021-04-10 13:13:08,61,1
2021-04-10 13:13:09,61,1
2021-04-10 13:13:10,61,1
2021-04-10 13:13:11,61,1
2021-04-10 13:13:12,61,1
2021-04-10 13:13:13,61,1
2021-04-10 13:13:14,61,1
2021-04-10 13:13:15,61,1
2021-04-10 13:13:16,61,1
2021-04-10 13:13:17,61,1
2021-04-10 13:13:18,61,1
2021-04-10 13:13:19,61,1
2021-04-10 13:13:20,61,1
2021-04-10 13:13:21,61,1
2021-04-10 13:13:22,61,1
2021-04-10 13:13:23,61,1
2021-04-10 13:13:24,61,1
